"","Action_Batman.txt","Action_Fight-Club.txt","Adventure_Avatar.txt","Adventure_Dances-with-Wolves.txt","Comedy_Austin-Powers---The-Spy-Who-Shagged-Me.txt","Comedy_Horrible-Bosses.txt","Crime_American-History-X.txt","Crime_Fargo.txt","Family_Happy-Fee.txt","Family_Shrek.txt","Fantasy_Butterfly-Effect,-The.txt","Fantasy_Star-Wars-The-Force-Awakens.txt","Horror_Scream-2.txt","Horror_Shining,-The.txt","Romance_Midnight-in-Paris.txt","Romance_Twilig.txt","SciFi_Alien.txt","SciFi_Men-in-Black.txt","Thriller_Eagle-Eye.txt","Thriller_Hunt-for-Red-October,-The.txt","War_Inglourious-Basterds.txt","War_Saving-Private-Ryan.txt"
"cutting",2,1,2,3,0,0,0,1,1,0,0,1,0,0,2,1,4,1,3,2,1,2
"danger",3,2,0,0,2,3,2,0,1,0,0,1,1,0,0,3,1,1,1,2,2,0
"darkness",6,2,7,1,0,0,1,0,5,0,1,16,8,0,0,6,15,5,1,2,2,6
"darts",4,1,0,0,0,0,1,0,0,0,3,1,1,2,0,2,1,1,0,0,0,0
"dazed",1,3,2,2,1,1,0,0,1,0,1,1,0,0,0,0,0,2,5,0,0,1
"deadly",4,0,4,0,1,1,0,0,0,0,0,0,2,0,0,2,2,0,2,1,0,2
"deafening",1,2,0,1,0,0,0,0,1,0,3,0,1,0,0,0,1,1,3,2,0,0
"dear",2,0,0,0,0,2,0,1,1,1,0,3,2,4,0,0,0,3,1,0,1,0
"debris",1,2,6,0,1,0,0,0,0,0,1,16,0,0,0,0,2,2,2,0,0,13
"deck",11,0,2,0,2,0,1,0,1,0,0,1,1,0,0,4,0,0,0,29,0,2
"deeply",1,0,3,3,0,0,0,1,1,0,1,2,0,0,0,1,1,0,2,0,0,0
"descends",1,0,3,0,1,0,0,0,0,0,0,2,1,0,0,1,1,0,1,1,5,0
"desperate",1,1,0,2,0,0,0,0,3,0,4,5,0,0,0,0,0,1,2,0,1,1
